model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence,seed
SVM,PGD_eps0.15_it10,10000,0,,,PGD,0.15,10,normal,,42
SVM,PGD_eps0.15_it10,3980,3936,0.0703760162601626,0.0804020100502512,PGD,0.15,10,password,,42
SVM,PGD_eps0.15_it10,3903,3328,0.3257211538461538,0.4250576479631053,PGD,0.15,10,ransomware,,42
SVM,PGD_eps0.15_it10,4041,3653,0.1727347385710375,0.2400395941598614,PGD,0.15,10,scanning,,42
SVM,PGD_eps0.15_it10,4002,3719,0.0123689163753697,0.0794602698650674,PGD,0.15,10,xss,,42
RF,PGD_eps0.15_it10,4053,4053,0.999013076733284,0.999013076733284,PGD,0.15,10,backdoor,,42
RF,PGD_eps0.15_it10,4004,3988,0.7419759277833501,0.7402597402597403,PGD,0.15,10,ddos,,42
RF,PGD_eps0.15_it10,4117,4109,0.9929423217327816,0.9927131406363856,PGD,0.15,10,dos,,42
RF,PGD_eps0.15_it10,3900,3895,0.978433889602054,0.9774358974358974,PGD,0.15,10,injection,,42
RF,PGD_eps0.15_it10,209,200,0.85,0.84688995215311,PGD,0.15,10,mitm,,42
RF,PGD_eps0.15_it10,10000,0,,,PGD,0.15,10,normal,,42
RF,PGD_eps0.15_it10,3980,3980,0.9894472361809046,0.9894472361809046,PGD,0.15,10,password,,42
RF,PGD_eps0.15_it10,3903,3903,0.9928260312580066,0.9928260312580066,PGD,0.15,10,ransomware,,42
RF,PGD_eps0.15_it10,4041,4041,0.9772333580796831,0.9772333580796831,PGD,0.15,10,scanning,,42
RF,PGD_eps0.15_it10,4002,4002,0.9697651174412794,0.9697651174412794,PGD,0.15,10,xss,,42
MLP,PGD_eps0.15_it10,4053,4049,0.9997530254383798,0.999753269183321,PGD,0.15,10,backdoor,,42
MLP,PGD_eps0.15_it10,4004,2975,0.9952941176470588,0.74000999000999,PGD,0.15,10,ddos,,42
MLP,PGD_eps0.15_it10,4117,4066,1.0,0.9880981297060968,PGD,0.15,10,dos,,42
MLP,PGD_eps0.15_it10,3900,3867,0.99974140160331,0.9912820512820512,PGD,0.15,10,injection,,42
MLP,PGD_eps0.15_it10,209,160,0.98125,0.7559808612440191,PGD,0.15,10,mitm,,42
MLP,PGD_eps0.15_it10,10000,0,,,PGD,0.15,10,normal,,42
MLP,PGD_eps0.15_it10,3980,3970,1.0,0.9984924623115576,PGD,0.15,10,password,,42
MLP,PGD_eps0.15_it10,3903,3860,1.0,0.988982833717653,PGD,0.15,10,ransomware,,42
MLP,PGD_eps0.15_it10,4041,3976,1.0,0.9841623360554318,PGD,0.15,10,scanning,,42
MLP,PGD_eps0.15_it10,4002,3943,1.0,0.9855072463768116,PGD,0.15,10,xss,,42
LR,PGD_eps0.15_it25,4053,4050,0.5079012345679013,0.5082654823587466,PGD,0.15,25,backdoor,,42
LR,PGD_eps0.15_it25,4004,2956,0.0054127198917456,0.0716783216783216,PGD,0.15,25,ddos,,42
LR,PGD_eps0.15_it25,4117,3608,0.0011086474501108,0.1212047607481175,PGD,0.15,25,dos,,42
LR,PGD_eps0.15_it25,3900,3740,0.0008021390374331,0.0392307692307692,PGD,0.15,25,injection,,42
LR,PGD_eps0.15_it25,209,112,0.0089285714285714,0.4497607655502392,PGD,0.15,25,mitm,,42
LR,PGD_eps0.15_it25,10000,0,,,PGD,0.15,25,normal,,42
LR,PGD_eps0.15_it25,3980,3935,0.0378653113087674,0.0479899497487437,PGD,0.15,25,password,,42
