accuracy,precision,recall,f1,fpr,fnr,model,split,n_train,n_test,test_attack_rate,attack,asr,family,epsilon,iters,confidence
0.01679011450277871,0.01822761317690727,0.021867483052700636,0.019882332739875826,0.9874666666666667,0.9781325169472994,SVM,random,441209,110303,0.45604380660544136,PGD_eps0.5_it25,0.9077903592830657,PGD,0.5,25.0,
0.5072028865941997,0.04057116953762466,0.0035584358785758306,0.0065429955222516675,0.07055,0.9964415641214242,RF,random,441209,110303,0.45604380660544136,PGD_eps0.5_it25,0.49262486061122546,PGD,0.5,25.0,
0.0900066181336863,0.01221603086155165,0.012464465340039362,0.012338997727026735,0.8449833333333333,0.9875355346599607,MLP,random,441209,110303,0.45604380660544136,PGD_eps0.5_it25,0.9096398103406073,PGD,0.5,25.0,
0.15394866866721665,0.02267936000710117,0.02031687970896368,0.02143321519199715,0.7340166666666667,0.9796831202910363,LR,random,441209,110303,0.45604380660544136,PGD_eps0.75_it10,0.7728620255115455,PGD,0.75,10.0,
0.015131048112925306,0.014644455908538715,0.017493986442160506,0.015942895447216335,0.98685,0.9825060135578395,SVM,random,441209,110303,0.45604380660544136,PGD_eps0.75_it10,0.9094675575460323,PGD,0.75,10.0,
0.5645086715683164,0.7298722368687893,0.0715464286424269,0.13031828221747474,0.0222,0.9284535713575731,RF,random,441209,110303,0.45604380660544136,PGD_eps0.75_it10,0.4353190756371087,PGD,0.75,10.0,
0.050678585351259714,0.011264012647312445,0.012464465340039362,0.011833872809459548,0.9172833333333333,0.9875355346599607,MLP,random,441209,110303,0.45604380660544136,PGD_eps0.75_it10,0.9489678431230338,PGD,0.75,10.0,
0.153150866250238,0.02212713123295568,0.019839770987813848,0.02092111607236442,0.7350833333333333,0.9801602290121861,LR,random,441209,110303,0.45604380660544136,PGD_eps0.75_it25,0.7737686191672031,PGD,0.75,25.0,
0.014813740333445147,0.013973086403304243,0.01667892571019621,0.01520657562054247,0.98675,0.9833210742898038,SVM,random,441209,110303,0.45604380660544136,PGD_eps0.75_it25,0.9098211290717387,PGD,0.75,25.0,
0.5501754258723698,0.6165873555404486,0.03606146750690813,0.06813785331956053,0.0188,0.9639385324930919,RF,random,441209,110303,0.45604380660544136,PGD_eps0.75_it25,0.44964325539649874,PGD,0.75,25.0,
0.04131347288831673,0.011058786179162918,0.012464465340039362,0.0117196261682243,0.9345,0.9875355346599607,MLP,random,441209,110303,0.45604380660544136,PGD_eps0.75_it25,0.9583329555859769,PGD,0.75,25.0,
0.7041512923492561,0.6445800877135563,0.7830348090571139,0.7070935544964142,0.3619833333333333,0.2169651909428861,LR,random,441209,110303,0.45604380660544136,CW_c0.0_it10,0.2219794565877628,CW,,10.0,0.0
0.48296963817847205,0.46090180989689283,0.7882233663996183,0.5816768136140248,0.77295,0.21177663360038168,SVM,random,441209,110303,0.45604380660544136,CW_c0.0_it10,0.4405863847764793,CW,,10.0,0.0
0.5821600500439698,0.9198884017536867,0.09176391070115103,0.16688056976555016,0.0067,0.908236089298849,RF,random,441209,110303,0.45604380660544136,CW_c0.0_it10,0.4176767630980118,CW,,10.0,0.0
0.0078873648042211,0.00573425170522937,0.006818678806433016,0.0062296243155132176,0.9912166666666666,0.993181321193567,MLP,random,441209,110303,0.45604380660544136,CW_c0.0_it10,0.9919313164646474,CW,,10.0,0.0
0.6920029373634443,0.6332278171197337,0.7714848020992784,0.6955524290028587,0.3746333333333333,0.22851519790072164,LR,random,441209,110303,0.45604380660544136,CW_c0.5_it10,0.23411874563701804,CW,,10.0,0.5
0.4807938134048938,0.4596849792262201,0.789614933502972,0.5810840465218345,0.7781166666666667,0.210385066497028,SVM,random,441209,110303,0.45604380660544136,CW_c0.5_it10,0.44279847329628386,CW,,10.0,0.5
0.5788872469470459,0.9729928799410754,0.07878257757986601,0.1457628365455348,0.0018333333333333333,0.9212174224201339,RF,random,441209,110303,0.45604380660544136,CW_c0.5_it10,0.4209314343218226,CW,,10.0,0.5
0.005457693807058738,0.004438511596863007,0.005287954992743971,0.004826140992261845,0.9944,0.9947120450072561,MLP,random,441209,110303,0.45604380660544136,CW_c0.5_it10,0.9943700533983664,CW,,10.0,0.5
0.7016853576058675,0.8751639853621487,0.2895686740381979,0.4351557806196893,0.027175301739038944,0.710431325961802,LR,temporal,441209,110303,0.3968341749544437,clean,0.0,,,,
0.7001169505815799,0.8670877385692709,0.288540619574157,0.4329939319140183,0.029099216906404532,0.711459380425843,SVM,temporal,441209,110303,0.3968341749544437,clean,0.0,,,,
0.7237065175017905,0.9995491433724075,0.3038928995705017,0.46608269096005606,9.018352347026198e-05,0.6961071004294983,RF,temporal,441209,110303,0.3968341749544437,clean,0.0,,,,
0.9911153821745555,0.9989040712586859,0.9786850041122178,0.9886911768099886,0.0007064376005170522,0.021314995887782143,MLP,temporal,441209,110303,0.3968341749544437,clean,0.0,,,,
0.32823223303083326,0.02070426096851688,0.014963903865484785,0.017372162104816465,0.46566262343869774,0.9850360961345153,LR,temporal,441209,110303,0.3968341749544437,FGSM_eps0.15,0.3773877410405882,FGSM,0.15,1.0,
0.23457204246484684,0.020316666273390124,0.01967010874531664,0.019988160323153533,0.6240399212397229,0.9803298912546834,SVM,temporal,441209,110303,0.3968341749544437,FGSM_eps0.15,0.46896276619856214,FGSM,0.15,1.0,
0.6080523648495508,0.9944954128440368,0.012382344878004204,0.02446013944987251,4.509176173513099e-05,0.9876176551219958,RF,temporal,441209,110303,0.3968341749544437,FGSM_eps0.15,0.11569041639846604,FGSM,0.15,1.0,
0.39453142706907335,0.03469610578672813,0.019601571781047246,0.025050729186435236,0.3587951481264373,0.9803984282189527,MLP,temporal,441209,110303,0.3968341749544437,FGSM_eps0.15,0.6013163739880149,FGSM,0.15,1.0,
0.2727396353680317,0.018291877032063652,0.015809193091474,0.016960160778402754,0.5582209796936767,0.984190806908526,LR,temporal,441209,110303,0.3968341749544437,FGSM_eps0.3,0.4338775917246131,FGSM,0.3,1.0,
0.15251625069127767,0.015478789769182781,0.018139449876633466,0.016703833045819835,0.7590747170491952,0.9818605501233665,SVM,temporal,441209,110303,0.3968341749544437,FGSM_eps0.3,0.5518526241353363,FGSM,0.3,1.0,
0.6031114294262169,0.0,0.0,0.0,9.018352347026198e-05,1.0,RF,temporal,441209,110303,0.3968341749544437,FGSM_eps0.3,0.12064041775835653,FGSM,0.3,1.0,
0.30176876422218796,0.015223541077313425,0.011925431782874897,0.013374156108684233,0.5075378395033894,0.9880745682171251,MLP,temporal,441209,110303,0.3968341749544437,FGSM_eps0.3,0.694468872106833,FGSM,0.3,1.0,
0.2528943002456869,0.017965864856772134,0.01644887142465503,0.017173933784944185,0.5915437916159384,0.983551128575345,LR,temporal,441209,110303,0.3968341749544437,FGSM_eps0.5,0.4547201798681813,FGSM,0.5,1.0,
