accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence,seed
0.07,0.2156862745098039,0.0700636942675159,0.1057692307692307,0.9302325581395348,0.929936305732484,MLP,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,31
0.065,0.2115384615384615,0.0700636942675159,0.1052631578947368,0.9534883720930232,0.929936305732484,MLP,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,31
0.055,0.18,0.0573248407643312,0.0869565217391304,0.9534883720930232,0.9426751592356688,MLP,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,31
0.655,0.7857142857142857,0.7707006369426752,0.7781350482315113,0.7674418604651163,0.2292993630573248,MLP,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0,31
0.575,0.75,0.6878980891719745,0.717607973421927,0.8372093023255814,0.3121019108280254,MLP,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5,31
0.885,0.9855072463768116,0.8662420382165605,0.9220338983050848,0.0465116279069767,0.1337579617834395,LR,0.25,Clean,0.0001530575752258,50,200,,,,,31
0.88,0.9854014598540146,0.8598726114649682,0.9183673469387756,0.0465116279069767,0.1401273885350318,LR,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,31
0.825,0.984126984126984,0.7898089171974523,0.8763250883392226,0.0465116279069767,0.2101910828025477,LR,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,31
0.8,0.968,0.7707006369426752,0.8581560283687943,0.0930232558139534,0.2292993630573248,LR,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,31
0.785,0.9318181818181818,0.7834394904458599,0.8512110726643599,0.2093023255813953,0.2165605095541401,LR,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,31
0.89,0.9856115107913668,0.8726114649681529,0.9256756756756755,0.0465116279069767,0.1273885350318471,LR,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,31
0.89,0.9856115107913668,0.8726114649681529,0.9256756756756755,0.0465116279069767,0.1273885350318471,LR,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,31
0.79,0.952755905511811,0.7707006369426752,0.852112676056338,0.1395348837209302,0.2292993630573248,LR,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,31
