accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,family,epsilon,iters,confidence,seed
0.7268705293600355,0.7027820213877944,0.6950281295350178,0.6988835693796164,0.2464333333333333,0.3049718704649822,LR,FGSM_eps0.15,0.1941017016762916,FGSM,0.15,1,,7
0.5977806587309502,0.5579660619788718,0.5680376915889709,0.5629568335402013,0.3772833333333333,0.4319623084110291,SVM,FGSM_eps0.15,0.3244154737405147,FGSM,0.15,1,,7
0.5366671804030715,0.3846153846153846,0.0266385702641989,0.0498261661739825,0.0357333333333333,0.9733614297358012,RF,FGSM_eps0.15,0.4631152371195706,FGSM,0.15,1,,7
0.2566385320435527,0.0633507853403141,0.0457030395801443,0.0530989802870901,0.5665166666666667,0.9542969604198556,MLP,FGSM_eps0.15,0.743152951415646,FGSM,0.15,1,,7
0.598233955558779,0.5632140217506071,0.5302069459077987,0.5462122918757296,0.3447333333333333,0.4697930540922012,LR,FGSM_eps0.3,0.3231553085591507,FGSM,0.3,1,,7
0.3381775654333971,0.3039015792929467,0.3496411744826352,0.3251707849173114,0.6714333333333333,0.6503588255173648,SVM,FGSM_eps0.3,0.584508127612123,FGSM,0.3,1,,7
0.5534482289692937,0.9596136962247586,0.0217283263423652,0.0424944597799463,0.0007666666666666,0.9782716736576348,RF,FGSM_eps0.3,0.4463341885533485,FGSM,0.3,1,,7
0.1196522306736897,0.0413007683863885,0.0418861698109456,0.0415914093111854,0.81515,0.9581138301890544,MLP,FGSM_eps0.3,0.8801755165317353,FGSM,0.3,1,,7
0.4076045075836559,0.3744196920610534,0.4457189432041826,0.4069700957480601,0.62435,0.5542810567958173,LR,FGSM_eps0.5,0.5139479433922921,FGSM,0.5,1,,7
0.0352936910147502,0.0470785773099339,0.0579687096197045,0.0519591596728497,0.9837166666666668,0.9420312903802954,SVM,FGSM_eps0.5,0.8874917273328922,FGSM,0.5,1,,7
0.5457965785155435,0.6218487394957983,0.0102975965648172,0.0202596996245306,0.00525,0.9897024034351828,RF,FGSM_eps0.5,0.4539949049436552,FGSM,0.5,1,,7
0.159243175616257,0.0158806215346704,0.0138361529133451,0.0147880590672474,0.71885,0.9861638470866548,MLP,FGSM_eps0.5,0.840584571589168,FGSM,0.5,1,,7
0.1419544346028666,0.1263860335007246,0.1490964753593225,0.1368051438734096,0.8640333333333333,0.8509035246406775,LR,FGSM_eps0.75,0.7796614779289774,FGSM,0.75,1,,7
0.0110151129162398,0.0130870537563157,0.0157048287378486,0.0142769364224527,0.9929166666666668,0.9842951712621514,SVM,FGSM_eps0.75,0.9120060197818736,FGSM,0.75,1,,7
0.5315177284389364,0.2115222876366694,0.0099994036140985,0.0190960687914048,0.03125,0.9900005963859014,RF,FGSM_eps0.75,0.4682646890837058,FGSM,0.75,1,,7
