accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence,seed
0.915,0.9387755102040816,0.8932038834951457,0.9154228855721394,0.0618556701030927,0.1067961165048543,SVM,0.25,Clean,0.0001528000831604,50,200,,,,,42
0.41,0.3684210526315789,0.203883495145631,0.2625,0.3711340206185567,0.7961165048543689,SVM,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.04,0.0,0.0,0.0,0.9175257731958762,1.0,SVM,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.005,0.0,0.0,0.0,0.9896907216494846,1.0,SVM,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.005,0.0,0.0,0.0,0.9896907216494846,1.0,SVM,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.415,0.3793103448275862,0.2135922330097087,0.2732919254658385,0.3711340206185567,0.7864077669902912,SVM,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.4,0.3559322033898305,0.203883495145631,0.2592592592592592,0.3917525773195876,0.7961165048543689,SVM,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.075,0.0,0.0,0.0,0.845360824742268,1.0,SVM,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.115,0.0,0.0,0.0,0.7628865979381443,1.0,SVM,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.005,0.0,0.0,0.0,0.9896907216494846,1.0,SVM,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.005,0.0,0.0,0.0,0.9896907216494846,1.0,SVM,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.005,0.0,0.0,0.0,0.9896907216494846,1.0,SVM,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.005,0.0,0.0,0.0,0.9896907216494846,1.0,SVM,0.25,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.515,0.5185185185185185,0.8155339805825242,0.6339622641509434,0.8041237113402062,0.1844660194174757,SVM,0.25,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.545,0.5375,0.8349514563106796,0.6539923954372624,0.7628865979381443,0.1650485436893204,SVM,0.25,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.25,Clean,0.0052383995056152,50,200,,,,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.465,0.0,0.0,0.0,0.0412371134020618,1.0,RF,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.25,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.25,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.485,0.0,0.0,0.0,0.0,1.0,RF,0.25,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.935,1.0,0.8737864077669902,0.932642487046632,0.0,0.1262135922330097,MLP,0.25,Clean,0.0021075391769409,50,200,,,,,42
0.415,0.0,0.0,0.0,0.1443298969072164,1.0,MLP,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.255,0.0,0.0,0.0,0.4742268041237113,1.0,MLP,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.17,0.0,0.0,0.0,0.6494845360824743,1.0,MLP,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.19,0.0,0.0,0.0,0.6082474226804123,1.0,MLP,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.405,0.0,0.0,0.0,0.1649484536082474,1.0,MLP,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.405,0.0,0.0,0.0,0.1649484536082474,1.0,MLP,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.17,0.0,0.0,0.0,0.6494845360824743,1.0,MLP,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.2,0.0,0.0,0.0,0.5876288659793815,1.0,MLP,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.15,0.0,0.0,0.0,0.6907216494845361,1.0,MLP,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.135,0.0,0.0,0.0,0.7216494845360825,1.0,MLP,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.095,0.0,0.0,0.0,0.8041237113402062,1.0,MLP,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.08,0.0,0.0,0.0,0.8350515463917526,1.0,MLP,0.25,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.495,0.5208333333333334,0.2427184466019417,0.3311258278145695,0.2371134020618556,0.7572815533980582,MLP,0.25,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.46,0.4509803921568627,0.2233009708737864,0.2987012987012987,0.2886597938144329,0.7766990291262136,MLP,0.25,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.94,0.9504950495049505,0.9320388349514565,0.9411764705882352,0.0515463917525773,0.0679611650485436,LR,0.5,Clean,0.0001538288593292,50,200,,,,,42
0.575,0.6125,0.4757281553398058,0.5355191256830601,0.3195876288659793,0.5242718446601942,LR,0.5,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.285,0.1153846153846153,0.058252427184466,0.0774193548387096,0.4742268041237113,0.941747572815534,LR,0.5,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
