accuracy,precision,recall,f1,fpr,fnr,model,split,n_train,n_test,test_attack_rate,attack,asr,family,epsilon,iters,confidence,seed
0.4546657842488418,0.1807515397209012,0.1059353011057296,0.1335810791346181,0.3158978521290826,0.8940646988942703,MLP,temporal,441209,110303,0.3968341749544437,FGSM_eps0.15,0.5418256983037633,FGSM,0.15,1.0,,99
0.1570220211598959,0.0071704688845714,0.0081787444028145,0.0076414903040587,0.7450511791495694,0.9918212555971854,LR,temporal,441209,110303,0.3968341749544437,FGSM_eps0.3,0.5187982194500603,FGSM,0.3,1.0,,99
0.0301805027968414,0.0090572955505841,0.0133190167230192,0.0107823192158313,0.95872600742511,0.9866809832769808,SVM,temporal,441209,110303,0.3968341749544437,FGSM_eps0.3,0.6630372700651841,FGSM,0.3,1.0,,99
0.6397106153051141,0.8766585684918706,0.1071689664625788,0.1909899639679987,0.0099201875817288,0.8928310335374212,RF,temporal,441209,110303,0.3968341749544437,FGSM_eps0.3,0.0851835398855878,FGSM,0.3,1.0,,99
0.2473640789461755,0.0422246069145709,0.0413506351092022,0.041783051316974,0.6170957899325127,0.9586493648907978,MLP,temporal,441209,110303,0.3968341749544437,FGSM_eps0.3,0.7495716344977018,FGSM,0.3,1.0,,99
0.1480376780323291,0.0061774542592956,0.0071735355935301,0.0066383374558677,0.7592851452706257,0.99282646440647,LR,temporal,441209,110303,0.3968341749544437,FGSM_eps0.5,0.527891353816306,FGSM,0.5,1.0,,99
0.0288659419961379,0.0090521584127722,0.0133418623777757,0.010786151615614,0.9609204731628864,0.9866581376222242,SVM,temporal,441209,110303,0.3968341749544437,FGSM_eps0.5,0.6643608968024441,FGSM,0.5,1.0,,99
0.6074630789733734,0.5354790419161677,0.0817189070638764,0.1417981447712677,0.0466399122213704,0.9182810929361236,RF,temporal,441209,110303,0.3968341749544437,FGSM_eps0.5,0.1164247572595486,FGSM,0.5,1.0,,99
0.2195951152733833,0.0140136460750304,0.0139358494014438,0.0139746394657564,0.645097773970029,0.986064150598556,MLP,temporal,441209,110303,0.3968341749544437,FGSM_eps0.5,0.7780930709046898,FGSM,0.5,1.0,,99
0.1414195443460286,0.006089992242048,0.0071735355935301,0.0065875047203457,0.7702574739595076,0.99282646440647,LR,temporal,441209,110303,0.3968341749544437,FGSM_eps0.75,0.5345276193757196,FGSM,0.75,1.0,,99
0.0285486342166577,0.0090472501936483,0.0133418623777757,0.0107826664943409,0.961446543716463,0.9866581376222242,SVM,temporal,441209,110303,0.3968341749544437,FGSM_eps0.75,0.6646872705184809,FGSM,0.75,1.0,,99
0.5821237862977435,0.0635577284693493,0.0038609156538426,0.0072796192199177,0.0374261622401587,0.9961390843461574,RF,temporal,441209,110303,0.3968341749544437,FGSM_eps0.75,0.1419997642856495,FGSM,0.75,1.0,,99
0.1893783487303156,0.013888297192519,0.0148953669012153,0.0143742145990872,0.6958260059220513,0.9851046330987846,MLP,temporal,441209,110303,0.3968341749544437,FGSM_eps0.75,0.8086815408465772,FGSM,0.75,1.0,,99
0.4267336337180312,0.0489082564554262,0.0241021657680709,0.0322911405965443,0.3083675279193158,0.9758978342319292,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it10,0.2488780903511237,PGD,0.15,10.0,,99
0.123387396534999,0.0112307663889761,0.0138901580919309,0.0124196958400147,0.8045723046399423,0.986109841908069,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it10,0.5692048267046227,PGD,0.15,10.0,,99
0.5248905288160793,0.1808369066982108,0.0558804715343141,0.0853781981919089,0.1665389066750838,0.9441195284656858,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it10,0.1987887908760414,PGD,0.15,10.0,,99
0.253084684913375,0.0129411467924623,0.0117198208900667,0.012300240969633,0.5881168177240684,0.9882801791099332,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it10,0.7439960835154076,PGD,0.15,10.0,,99
0.4140141247291551,0.0399541365320162,0.0206981632093575,0.0272694437755839,0.3272158843246006,0.9793018367906424,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it25,0.2615069399744341,PGD,0.15,25.0,,99
0.1213475608097694,0.0104999447371329,0.0130220232111852,0.0116257725019886,0.8073830244547654,0.9869779767888148,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it25,0.5715166405265496,PGD,0.15,25.0,,99
0.5011196431647371,0.1173511014413924,0.0394316001096591,0.0590287277701778,0.1951270836151568,0.9605683998903408,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it25,0.2225687424639402,PGD,0.15,25.0,,99
0.2510629810612585,0.0130153475774902,0.0118568948186055,0.0124091430757459,0.5915588222031835,0.9881431051813944,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.15_it25,0.7460087214309674,PGD,0.15,25.0,,99
0.263773424113578,0.0137171360282656,0.0120625057114136,0.0128367208013225,0.5706212141708377,0.9879374942885863,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.3_it10,0.4127448936112345,PGD,0.3,10.0,,99
