accuracy,precision,recall,f1,fpr,fnr,surrogate,hidden,epochs,surrogate_clean_acc,surrogate_train_s,target,epsilon,asr,seed
0.2316176470588235,0.101707779886148,0.6552567237163814,0.1760840998685939,0.8290718038528897,0.3447432762836185,wider_longer,"[128, 64]",50,0.8893995098039216,23.16770362854004,LR,0.3,0.6776960784313726,7
0.1234681372549019,0.0455893254262416,0.3007334963325183,0.0791760540714515,0.9019264448336252,0.6992665036674817,wider_longer,"[128, 64]",50,0.8893995098039216,23.16770362854004,SVM,0.3,0.7907475490196079,7
0.8036151960784313,0.1158940397350993,0.0855745721271393,0.0984528832630098,0.0935201401050788,0.9144254278728606,wider_longer,"[128, 64]",50,0.8893995098039216,23.16770362854004,RF,0.3,0.1599264705882352,7
0.1706495098039215,0.0769513991163475,0.511002444987775,0.13376,0.8781085814360771,0.4889975550122249,wider_longer,"[128, 64]",50,0.8893995098039216,23.16770362854004,LR,0.5,0.7386642156862745,7
0.1161151960784313,0.037714712471994,0.2469437652811736,0.0654356980887593,0.9026269702276708,0.7530562347188264,wider_longer,"[128, 64]",50,0.8893995098039216,23.16770362854004,SVM,0.5,0.7981004901960784,7
0.2181372549019608,0.0422896198205894,0.2420537897310513,0.072,0.7852889667250438,0.7579462102689487,wider_longer,"[128, 64]",50,0.8893995098039216,23.16770362854004,RF,0.5,0.7377450980392157,7
0.1942401960784313,0.0900701365817644,0.5965770171149144,0.1565105837075048,0.8633975481611208,0.4034229828850856,deep_long,"[256, 128, 64]",50,0.899203431372549,26.340834379196167,LR,0.3,0.7150735294117647,7
0.1302083333333333,0.0369664634146341,0.2371638141809291,0.06396307286515,0.8851138353765324,0.7628361858190709,deep_long,"[256, 128, 64]",50,0.899203431372549,26.340834379196167,SVM,0.3,0.7830882352941176,7
0.8158700980392157,0.1496350364963503,0.1002444987775061,0.1200585651537335,0.0816112084063047,0.8997555012224939,deep_long,"[256, 128, 64]",50,0.899203431372549,26.340834379196167,RF,0.3,0.1452205882352941,7
0.1639093137254902,0.0710059171597633,0.4694376528117359,0.1233536781239961,0.8798598949211909,0.530562347188264,deep_long,"[256, 128, 64]",50,0.899203431372549,26.340834379196167,LR,0.5,0.7441789215686274,7
0.126531862745098,0.0336134453781512,0.2151589242053789,0.0581433762801453,0.8861646234676007,0.784841075794621,deep_long,"[256, 128, 64]",50,0.899203431372549,26.340834379196167,SVM,0.5,0.7867647058823529,7
0.3449754901960784,0.0384410037373198,0.1760391198044009,0.0631025416301489,0.6308231173380034,0.823960880195599,deep_long,"[256, 128, 64]",50,0.899203431372549,26.340834379196167,RF,0.5,0.6060049019607843,7
0.1979166666666666,0.1109545614653046,0.7701711491442543,0.1939655172413793,0.8840630472854641,0.2298288508557457,submitted,"[32, 12]",12,0.8881740196078431,5.66506552696228,LR,0.3,0.7328431372549019,123
0.1176470588235294,0.0550954267194814,0.3740831295843521,0.096045197740113,0.9190893169877408,0.6259168704156479,submitted,"[32, 12]",12,0.8881740196078431,5.66506552696228,SVM,0.3,0.819546568627451,123
0.8207720588235294,0.0510204081632653,0.0244498777506112,0.0330578512396694,0.0651488616462346,0.9755501222493888,submitted,"[32, 12]",12,0.8881740196078431,5.66506552696228,RF,0.3,0.1381740196078431,123
0.1590073529411764,0.0991763898421413,0.706601466992665,0.173939211555823,0.9194395796847636,0.293398533007335,submitted,"[32, 12]",12,0.8881740196078431,5.66506552696228,LR,0.5,0.7720588235294118,123
0.1176470588235294,0.0544536602957086,0.3691931540342298,0.0949088623507228,0.9183887915936952,0.6308068459657702,submitted,"[32, 12]",12,0.8881740196078431,5.66506552696228,SVM,0.5,0.8201593137254902,123
0.7962622549019608,0.0492957746478873,0.0342298288508557,0.0404040404040404,0.0945709281961471,0.9657701711491442,submitted,"[32, 12]",12,0.8881740196078431,5.66506552696228,RF,0.5,0.1632965686274509,123
0.2000612745098039,0.103386167146974,0.7017114914425427,0.1802197802197802,0.8718038528896672,0.2982885085574572,longer,"[32, 12]",50,0.8863357843137255,23.86433815956116,LR,0.3,0.7236519607843137,123
0.1253063725490196,0.0539752005835156,0.3618581907090464,0.0939384322437321,0.9085814360770578,0.6381418092909535,longer,"[32, 12]",50,0.8863357843137255,23.86433815956116,SVM,0.3,0.8045343137254902,123
0.8238357843137255,0.0931372549019607,0.0464547677261613,0.0619902120717781,0.0647985989492119,0.9535452322738386,longer,"[32, 12]",50,0.8863357843137255,23.86433815956116,RF,0.3,0.1348039215686274,123
0.1614583333333333,0.0910049191848208,0.6332518337408313,0.1591397849462365,0.9061295971978984,0.3667481662591687,longer,"[32, 12]",50,0.8863357843137255,23.86433815956116,LR,0.5,0.7628676470588235,123
